title,lon,price,misc,lat,date,details_link,hood
$$$$$$$$$$$$LANDLORDS! ACCEPT GOVT PROGS/GET $800 PER BEDROOM!,,$800,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-landlords-accept-govt-progs/7169211624.html," (Brooklyn, Bronx, Queens, Staten Island)"
$$$$$$$$$$$$LANDLORDS! ACCEPT GOVT PROGS/GET $800 PER BEDROOM!,,$800,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-landlords-accept-govt-progs/7158609103.html," (Brooklyn, Bronx, Queens, Staten Island)"
Must-see No Fee 2 bed/2 bath in LIC w/ washer/dryer & fitness center,,$4151,,,Jul 31,https://newyork.craigslist.org/que/reo/d/long-island-city-must-see-no-fee-2-bed/7169204384.html, (Long Island City)
8th Ave Chinatown Vic. 6 family + 5 retail space for sale Nr. N train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-8th-ave-chinatown-vic-6-family/7169200113.html, (Sunset Park)
Just Listed!! 1 Family Semi-Detached Home!,,$879000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-just-listed-1-family-semi/7169210279.html, (Bergen Beach)
Beautiful Colonial One Family,,$2199000,,,Jul 31,https://newyork.craigslist.org/que/reb/d/brooklyn-beautiful-colonial-one-family/7169210117.html, (Mill Basin)
One Family Home - Prime Location,,$779000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-one-family-home-prime-location/7169208884.html, (Mill Basin)
INTERIOR OFFICE SPACE AVAILABLE,,$0,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/new-york-interior-office-space-available/7169209562.html, (Flatiron)
Waterfront Mini Mansion One Family Detached,,$2250000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-waterfront-mini-mansion-one/7166932929.html, (Mill Basin)
Just In! 1 Family Detached!,,$1195000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-just-in-1-family-detached/7167656850.html, (Brooklyn)
Ready to get back to the grind free of Covid worries...?,,$0,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/new-york-ready-to-get-back-to-the-grind/7169197812.html, (Flatiron)
"1053 Morris Park Avenue, Bronx, NY 10461",,$2300,,,Jul 31,https://newyork.craigslist.org/brx/reb/d/bronx-1053-morris-park-avenue-bronx-ny/7169209054.html, (Bronx)
OPEN HOUSE 8/2/20 FROM 12:00-1:00 PM,,$879000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-open-house-from-pm/7169208300.html, (Bergen Beach)
"WOW PEARL RIVER MANOR, ROOM FOR ALL!!",,$389999,,,Jul 31,https://newyork.craigslist.org/mnh/reb/d/pearl-river-wow-pearl-river-manor-room/7165780007.html, (PEARL RIVER)
"1800 Saint Johns Place, New York, NY 11233",,$2200,,,Jul 31,https://newyork.craigslist.org/que/reb/d/brooklyn-1800-saint-johns-place-new/7169207192.html, (Brooklyn)
"WOW PEARL RIVER MANOR, ROOM FOR ALL!!",,$389999,,,Jul 31,https://newyork.craigslist.org/mnh/reb/d/pearl-river-wow-pearl-river-manor-room/7165340680.html, (PEARL RIVER)
"WOW PEARL RIVER MANOR, ROOM FOR ALL!!",,$389999,,,Jul 31,https://newyork.craigslist.org/mnh/reb/d/pearl-river-wow-pearl-river-manor-room/7165777800.html, (PEARL RIVER)
"PEARL RIVER MANOR, ROOM FOR ALL!!",,$389999,,,Jul 31,https://newyork.craigslist.org/mnh/reb/d/pearl-river-pearl-river-manor-room-for/7162726817.html, (PEARL RIVER)
"WOW PEARL RIVER MANOR, ROOM FOR ALL!!",,$389999,,,Jul 31,https://newyork.craigslist.org/mnh/reb/d/pearl-river-wow-pearl-river-manor-room/7165778940.html, (PEARL RIVER)
SUN 8/2 11-1PM  13 MILES TO NYC CUL DE SAC,,$550000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/orangeburg-sun-pm-13-miles-to-nyc-cul/7153014897.html, (PEARL RIVER)
Brick 2-Family House,,$1190000,,,Jul 31,https://newyork.craigslist.org/que/reo/d/flushing-brick-2-family-house/7169205599.html, (Flushing)
:) 2 Family Home Income & Investment Property For Sale  ;) ~~ ^ !!! +,,$799000,,,Jul 31,https://newyork.craigslist.org/brx/reb/d/2-family-home-income-investment/7154705490.html,
OPEN HOUSE 8/2 11-1PM TIME TO MOVE OUT OF NYC ! 13 MILES TO NYC!,,$550000,,,Jul 31,https://newyork.craigslist.org/que/reb/d/orangeburg-open-house-pm-time-to-move/7153068511.html, (orangeburg)
Large 1 bedroom - 2 blocks to R/M trains,,$1900,,,Jul 31,https://newyork.craigslist.org/que/reb/d/astoria-large-1-bedroom-2-blocks-to-m/7169204583.html, (Astoria)
Excellent condition one-bedroom,,$269999,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-excellent-condition-one-bedroom/7169204488.html, (Brooklyn)
"70-94 34th Avenue, New York, NY 11372",,$3499,,,Jul 31,https://newyork.craigslist.org/que/reb/d/jackson-heights-th-avenue-new-york-ny/7169203616.html, (Queens)
CONGERS BEAUTY 15 MILES TO NYC,,$649000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/congers-congers-beauty-15-miles-to-nyc/7155222063.html, (CONGERS)
